STATE,MATH / 500,MATH %,MATCH /AVG,READING/ 500,READING %,READING / AVG
Alabama,229.65,45.93,-10.35,211.73,42.35,-7.71
Alaska,232.31,46.46,-7.7,204.37,40.87,-15.07
Arizona,237.61,47.52,-2.39,215.84,43.17,-3.6
Arkansas,233.25,46.65,-6.75,215.05,43.01,-4.39
California,234.72,46.94,-5.28,216.48,43.30,-2.96
Colorado,241.87,48.37,1.86,224.86,44.97,5.42
Connecticut,243.26,48.65,3.26,224.35,44.87,4.91
Delaware,239.32,47.86,-0.68,217.69,43.54,-1.75
District of Columbia,234.64,46.93,-5.37,214.28,42.86,-5.16
Florida,245.96,49.19,5.95,224.71,44.94,5.27
Georgia,237.65,47.53,-2.36,217.98,43.60,-1.46
Hawaii,238.57,47.71,-1.44,217.53,43.51,-1.91
Idaho,241.9,48.38,1.89,222.51,44.50,3.07
Illinois,237.4,47.48,-2.61,218.17,43.63,-1.27
Indiana,244.88,48.98,4.88,221.81,44.36,2.37
Iowa,240.69,48.14,0.68,220.5,44.10,1.06
Kansas,239.44,47.89,-0.56,219.13,43.83,-0.31
Kentucky,239.31,47.86,-0.69,220.93,44.19,1.49
Louisiana,231.3,46.26,-8.71,209.87,41.97,-9.57
Maine,240.76,48.15,0.75,221.24,44.25,1.8
Maryland,238.56,47.71,-1.44,219.84,43.97,0.4
Massachusetts,247.32,49.46,7.32,231.09,46.22,11.65
Michigan,236.15,47.23,-3.85,218.27,43.65,-1.17
Minnesota,248.41,49.68,8.41,222.39,44.48,2.95
Mississippi,240.71,48.14,0.7,219.34,43.87,-0.1
Missouri,238.41,47.68,-1.59,218,43.60,-1.44
Montana,241.11,48.22,1.11,221.68,44.34,2.24
Nebraska,243.77,48.75,3.77,222.36,44.47,2.92
Nevada,235.63,47.13,-4.38,217.62,43.52,-1.82
New Hampshire,244.56,48.91,4.56,224.26,44.85,4.82
New Jersey,245.93,49.19,5.93,227.19,45.44,7.75
New Mexico,231.11,46.22,-8.89,207.56,41.51,-11.88
New York,236.73,47.35,-3.27,219.6,43.92,0.16
North Carolina,241.41,48.28,1.4,221.28,44.26,1.84
North Dakota,242.93,48.59,2.92,221.18,44.24,1.74
Ohio,241.14,48.23,1.14,221.97,44.39,2.53
Oklahoma,237.2,47.44,-2.81,216.35,43.27,-3.09
Oregon,236.35,47.27,-3.65,217.72,43.54,-1.72
Pennsylvania,243.94,48.79,3.93,223.21,44.64,3.77
Rhode Island,239.34,47.87,-0.66,220.19,44.04,0.75
South Carolina,236.75,47.35,-3.25,215.98,43.20,-3.46
South Dakota,241.3,48.26,1.29,222,44.40,2.56
Tennessee,239.7,47.94,-0.31,219.06,43.81,-0.38
Texas,243.62,48.72,3.61,216.04,43.21,-3.4
Utah,243.79,48.76,3.79,225.15,45.03,5.71
Vermont,238.9,47.78,-1.1,221.83,44.37,2.39
Virginia,246.89,49.38,6.89,223.64,44.73,4.2
Washington,239.51,47.90,-0.49,219.69,43.94,0.25
West Virginia,231.5,46.30,-8.51,213.18,42.64,-6.26
Wisconsin,241.67,48.33,1.67,219.7,43.94,0.26
Wyoming,245.84,49.17,5.84,226.69,45.34,7.25
