STATE,1 EARNER,2 EARNERS,3 EARNERS,4 EARNERS, ORDER2
WYOMING,58700,69957,81231,91714,1
WEST VIRGINIA,48608,51683,61715,75128,2
NORTH DAKOTA,56624,74167,93113,104903,3
OKLAHOMA,46756,59133,63417,74341,4
IDAHO,49856,61092,66187,74149,5
ARKANSAS,43585,53906,60370,68341,6
SOUTH DAKOTA,48618,67373,80746,88743,7
KENTUCKY,45640,54835,66154,78951,8
ALABAMA,47657,57109,63940,78456,9
TENNESSEE,47214,58254,67870,79147,10
UTAH,62535,68269,78581,88835,11
NEBRASKA,50061,70061,76687,93362,12
LOUISIANA,45045,54047,64002,78489,13
MONTANA,51898,63251,71427,94909,14
INDIANA,49421,61929,72826,87453,15
MISSISSIPPI,42183,52837,56566,66729,16
MISSOURI,48276,61310,72980,85651,17
KANSAS,50416,66443,75902,85144,18
ALASKA,63042,82440,83416,99846,19
SOUTH CAROLINA,46710,59822,64106,77494,20
IOWA,50819,68396,77604,94385,21
OHIO,49624,62308,74969,89454,22
TEXAS,50144,65429,72271,83960,23
FLORIDA,49172,60400,66872,78833,24
NORTH CAROLINA,48629,61882,68853,85021,25
ARIZONA,52334,65254,70976,80956,26
WISCONSIN,52295,67872,81447,99341,27
GEORGIA,47953,63303,72594,82476,28
PENNSYLVANIA,55117,66649,82518,100078,29
NEVADA,53046,63330,69239,84997,30
MICHIGAN,51405,62618,75051,92742,31
MINNESOTA,58443,76398,94312,111878,32
NEW HAMPSHIRE,65459,77719,97970,116775,33
MAINE,52939,65800,82520,96516,34
VIRGINIA,61864,77904,91781,105261,35
NEW MEXICO,46250,56124,59726,69583,36
COLORADO,62495,79661,87325,104730,37
OREGON,56595,68375,76732,90600,38
NEW JERSEY,68349,82263,103634,125465,39
ILLINOIS,54238,71578,83182,98603,40
WASHINGTON,64079,78357,87736,107640,41
DELAWARE,57465,71409,83531,99922,42
CONNECTICUT,65117,83597,100836,116897,43
RHODE ISLAND,55954,77030,84198,103813,44
NEW YORK,55333,71343,83887,102384,45
CALIFORNIA,57962,77167,84003,96813,46
HAWAII,69962,79403,95292,104619,47
MARYLAND,66193,86801,105431,118599,48
MASSACHUSETTS,66492,83326,104552,130695,49
VERMONT,51596,70848,79734,88423,50
