STATE,MATH / 500,MATH %,MATH / AVG,READING / 500,READING %,READING / AVG,ORDER
Alabama,230.04,46.01,-4.82,213.3,42.66,-2.81,9
Alaska,225.92,45.18,-8.94,203.83,40.77,-12.28,19
Arizona,231.98,46.4,-2.88,215.48,43.1,-0.63,26
Arkansas,228.14,45.63,-6.72,211.95,42.39,-4.16,6
California,230.36,46.07,-4.5,214.39,42.88,-1.73,46
Colorado,236.17,47.23,1.31,222.85,44.57,6.74,37
Connecticut,236.36,47.27,1.5,219.15,43.83,3.03,43
Delaware,225.58,45.12,-9.28,208.3,41.66,-7.81,42
Florida,240.83,48.17,5.97,224.74,44.95,8.63,24
Georgia,234.91,46.98,0.05,215.88,43.18,-0.23,28
Hawaii,236.5,47.3,1.64,218.82,43.76,2.7,47
Idaho,236.2,47.24,1.34,214.89,42.98,-1.23,5
Illinois,237.08,47.42,2.22,217.78,43.56,1.66,40
Indiana,239.15,47.83,4.29,217.36,43.47,1.25,15
Iowa,239.83,47.97,4.97,218.02,43.6,1.91,21
Kansas,235.03,47.01,0.17,214.68,42.94,-1.43,18
Kentucky,233.8,46.76,-1.06,216.6,43.32,0.48,8
Louisiana,228.57,45.71,-6.29,212.34,42.47,-3.78,13
Maine,233.07,46.61,-1.79,212.81,42.56,-3.3,34
Maryland,228.59,45.72,-6.27,212.48,42.5,-3.63,48
Massachusetts,241.73,48.35,6.87,226.8,45.36,10.69,49
Michigan,232.2,46.44,-2.66,211.84,42.37,-4.27,31
Minnesota,239.01,47.8,4.15,215.47,43.09,-0.65,32
Mississippi,233.56,46.71,-1.3,217.16,43.43,1.05,16
Missouri,232.38,46.48,-2.48,213.36,42.67,-2.76,17
Montana,238.52,47.7,3.66,218.73,43.75,2.61,14
Nebraska,241.56,48.31,6.7,218.61,43.72,2.5,12
Nevada,229.35,45.87,-5.51,211.53,42.31,-4.59,30
New Hampshire,239.39,47.88,4.54,222.54,44.51,6.42,33
New Jersey,239.23,47.85,4.37,222.73,44.55,6.61,39
New Mexico,221.25,44.25,-13.61,202.08,40.42,-14.03,36
New York,227.09,45.42,-7.77,213.57,42.71,-2.54,45
North Carolina,235.96,47.19,1.1,216.13,43.23,0.02,25
North Dakota,240.08,48.02,5.22,217.53,43.51,1.42,3
Ohio,237.76,47.55,2.9,218.56,43.71,2.45,22
Oklahoma,229.49,45.9,-5.37,208.11,41.62,-8.01,4
Oregon,228.19,45.64,-6.67,210.31,42.06,-5.8,38
Pennsylvania,237.54,47.51,2.68,218.89,43.78,2.78,29
Rhode Island,234.13,46.83,-0.73,217.26,43.45,1.15,44
South Carolina,234.22,46.84,-0.64,216.39,43.28,0.28,20
South Dakota,239.01,47.8,4.15,218.07,43.61,1.95,7
Tennessee,236.35,47.27,1.5,214,42.8,-2.11,10
Texas,238.58,47.72,3.72,214.2,42.84,-1.92,23
Utah,239.61,47.92,4.76,221.09,44.22,4.97,11
Vermont,234.29,46.86,-0.56,216.98,43.4,0.87,50
Virginia,236.36,47.27,1.5,214.04,42.81,-2.08,35
Washington,234.93,46.99,0.07,216.69,43.34,0.58,41
West Virginia,225.97,45.19,-8.89,205.31,41.06,-10.8,2
Wisconsin,240.26,48.05,5.4,217.37,43.47,1.26,27
Wyoming,243.15,48.63,8.29,224.79,44.96,8.68,1
