STATE,MATH % '19,MATH % '22,READING % '19,READING % '22,BIDEN VOTE %,TRUMP VOTE %
Wyoming,49.17,48.63,45.34,44.96,26.55%,69.94%
West Virginia,46.3,45.19,42.64,41.06,29.70%,68.63%
Oklahoma,47.44,45.9,43.27,41.62,32.29%,65.37%
North Dakota,48.59,48.02,44.24,43.51,31.76%,65.11%
Idaho,48.38,47.24,44.5,42.98,33.07%,63.84%
Arkansas,46.65,45.63,43.01,42.39,34.78%,62.40%
Kentucky,47.86,46.76,44.19,43.32,36.15%,62.09%
Alabama,45.93,46.01,42.35,42.66,36.57%,62.03%
South Dakota,48.26,47.8,44.4,43.61,35.61%,61.77%
Tennessee,47.94,47.27,43.81,42.8,37.45%,60.66%
Nebraska,48.75,48.31,44.47,43.72,39.36%,58.51%
Louisiana,46.26,45.71,41.97,42.47,39.85%,58.46%
Utah,48.76,47.92,45.03,44.22,37.65%,58.13%
Mississippi,48.14,46.71,43.87,43.43,41.06%,57.60%
Indiana,48.98,47.83,44.36,43.47,40.96%,57.02%
